Label,Acc X-mean,Acc X-median,Acc X-std,Acc X-mad,Acc X-max,Acc X-min,Acc X-iqr,Acc X-autocorr,Acc Y-mean,Acc Y-median,Acc Y-std,Acc Y-mad,Acc Y-max,Acc Y-min,Acc Y-iqr,Acc Y-autocorr,Acc Z-mean,Acc Z-median,Acc Z-std,Acc Z-mad,Acc Z-max,Acc Z-min,Acc Z-iqr,Acc Z-autocorr,Gyro X-mean,Gyro X-median,Gyro X-std,Gyro X-mad,Gyro X-max,Gyro X-min,Gyro X-iqr,Gyro X-autocorr,Gyro Y-mean,Gyro Y-median,Gyro Y-std,Gyro Y-mad,Gyro Y-max,Gyro Y-min,Gyro Y-iqr,Gyro Y-autocorr,Gyro Z-mean,Gyro Z-median,Gyro Z-std,Gyro Z-mad,Gyro Z-max,Gyro Z-min,Gyro Z-iqr,Gyro Z-autocorr
2,2.59758913,2.594716072,0.064048181,0.03830719,2.724003077,2.451063871,0.080205679,0.72747521,-9.257419882,-9.255983353,0.024182653,0.011970997,-9.193734169,-9.332598686,0.023941994,0.727012737,0.268102708,0.266953498,0.033269984,0.021547794,0.336385339,0.192733243,0.03830722,0.720744811,-0.001376853,-0.001198422,0.004238137,0.002530001,0.005592634,-0.009187899,0.004261055,0.848411089,0.000502006,0.001731053,0.010422776,0.009454214,0.01304948,-0.020905798,0.017044217,0.878126758,-0.000954742,-0.001464737,0.001623697,0.001131843,0.002263685,-0.003062633,0.001731053,0.86372663
2,2.627756047,2.623446465,0.060681726,0.043095588,2.74794507,2.451063871,0.07541728,0.612226504,-9.246789627,-9.246406555,0.023602758,0.014365196,-9.193734169,-9.30386734,0.028730392,0.677351248,0.273178414,0.269347697,0.031366453,0.019153595,0.336385339,0.197521642,0.034715921,0.723766454,0.000846885,0.002463422,0.004843327,0.003129212,0.006125266,-0.009187899,0.008388951,0.895533611,0.000729706,0.001997369,0.010332405,0.009321058,0.012250531,-0.020905798,0.019041588,0.884790045,0.002804307,0.002263685,0.004706087,0.004793686,0.009454215,-0.003062633,0.009587372,0.971233774
2,2.62224937,2.618658066,0.043819734,0.035912991,2.74794507,2.52767849,0.07661438,0.585946404,-9.253062429,-9.255983353,0.0201655,0.014365197,-9.217676163,-9.30386734,0.033518791,0.587574766,0.284287508,0.288501292,0.031190814,0.023942024,0.341173738,0.197521642,0.057460845,0.762171093,0.001451422,0.001464737,0.003556649,0.002330265,0.006125266,-0.006125266,0.004127897,0.932884367,0.005780387,0.006990793,0.005567441,0.002063948,0.011851058,-0.009454215,0.004660528,0.859575988,0.005001413,0.00652474,0.003996725,0.002396843,0.009454215,-0.003462107,0.005592635,0.962415016
2,2.584421015,2.589927673,0.048980858,0.026336193,2.685695648,2.475006104,0.047883987,0.686885723,-9.264985542,-9.26556015,0.021101468,0.019153595,-9.217676163,-9.313444138,0.033518791,0.628134155,0.297838694,0.29807812,0.035393344,0.023942023,0.360327363,0.231040463,0.057460844,0.79792882,-0.000648479,0.000399474,0.003869511,0.003328949,0.005060002,-0.007057372,0.006524739,0.913478068,-0.000302268,0.003861581,0.008733942,0.004926844,0.009054741,-0.013715269,0.016378428,0.971073406,-0.000312921,-0.000932106,0.004893135,0.002663159,0.008921583,-0.008122635,0.006924214,0.95952565
2,2.59725395,2.575562477,0.069678504,0.033518791,2.771887064,2.475006104,0.059854984,0.742775657,-9.264410934,-9.260771751,0.022706945,0.014365196,-9.18894577,-9.313444138,0.029927492,0.546204542,0.29137435,0.29807812,0.037568545,0.028730423,0.360327363,0.231040463,0.067037672,0.814808027,0.000744353,0.000798948,0.004336552,0.002663159,0.007723161,-0.007057372,0.004127897,0.922791012,-0.005916208,-0.007123951,0.006020964,0.00459395,0.003861581,-0.013715269,0.010785794,0.910898473,0.000900148,0.0,0.005859473,0.00519316,0.010652636,-0.008122635,0.010652637,0.972161574
2,2.597637019,2.580350876,0.064927722,0.019153595,2.771887064,2.451063871,0.062249184,0.718726909,-9.262064619,-9.260771751,0.018993982,0.009576798,-9.18894577,-9.308655739,0.021547794,0.393864774,0.290847626,0.29807812,0.030165713,0.014365196,0.350750536,0.240617275,0.038307219,0.802816998,0.001514006,0.002063949,0.004296452,0.002729739,0.007723161,-0.00785632,0.005725792,0.945634196,-0.002143843,-0.00199737,0.007018359,0.006058687,0.008921583,-0.012650006,0.012117374,0.903526187,0.003273023,0.002263685,0.004414532,0.00392816,0.010652636,-0.003728423,0.006391582,0.945801336
2,2.587677114,2.585139275,0.061920788,0.043095588,2.795829058,2.451063871,0.068234682,0.754653372,-9.260436563,-9.255983353,0.026034409,0.014365197,-9.208099365,-9.308655739,0.033518791,0.803860264,0.299227331,0.29807812,0.032569961,0.023942023,0.40821138,0.245405674,0.047884047,0.787919949,-0.000346211,0.000998685,0.003991644,0.002330264,0.005326318,-0.00785632,0.006125266,0.906497603,-0.000344879,-0.003062633,0.010062164,0.005592634,0.022370536,-0.015313165,0.012250532,0.87753446,0.000407463,0.00066579,0.003633634,0.003195791,0.007057372,-0.004261055,0.00585895,0.927144194
2,2.573838611,2.623446465,0.092316555,0.043095588,2.795829058,2.384026289,0.143651963,0.655537347,-9.260676079,-9.255983353,0.030950197,0.009576798,-9.208099365,-9.323021889,0.023941994,0.761071666,0.305595905,0.29807812,0.060459029,0.023942024,0.480037451,0.154426008,0.047884047,0.571150254,-0.00043809,-0.001464737,0.003266042,0.002663159,0.003994739,-0.005725792,0.006291714,0.877202194,-0.001725727,-0.001997369,0.013428982,0.010253162,0.022370536,-0.028762119,0.017177376,0.920945142,0.000460726,0.00066579,0.004543499,0.003994739,0.008655267,-0.006791056,0.005725792,0.911183955
2,2.57781301,2.589927673,0.094745574,0.071825981,2.743156672,2.384026289,0.162805557,0.691148342,-9.257563629,-9.255983353,0.034883875,0.021547794,-9.184157372,-9.351752281,0.039504289,0.62053469,0.322163782,0.317231715,0.070639154,0.062249244,0.480037451,0.154426008,0.100556493,0.574441896,0.000575242,-0.000266316,0.003320889,0.003462107,0.004926845,-0.003728423,0.00719053,0.892130566,-0.00511726,-0.010253162,0.013038334,0.008255793,0.02210422,-0.028762119,0.021971063,0.888926624,0.00223439,0.00066579,0.004230792,0.001597895,0.008655267,-0.006791056,0.005060002,0.914515217
2,2.609177082,2.609081268,0.078034128,0.052672386,2.771887064,2.460640907,0.102950572,0.69364564,-9.25751565,-9.26795435,0.034374236,0.021547794,-9.179368973,-9.351752281,0.043095588,0.600548513,0.315986741,0.312443316,0.065449018,0.047884047,0.465672225,0.183156431,0.077811569,0.681936136,0.0005566,0.000932106,0.002731378,0.002396843,0.004926845,-0.003728423,0.003328948,0.875236525,-0.008804404,-0.012650006,0.016912551,0.005459477,0.02210422,-0.037017912,0.025166854,0.934176659,0.001705753,0.001731053,0.003218948,0.00199737,0.008122635,-0.003062633,0.003595265,0.903720668
2,2.575801909,2.577956677,0.085807158,0.045489788,2.771887064,2.398391485,0.096965075,0.736330539,-9.268864145,-9.270348549,0.025050043,0.023941994,-9.179368973,-9.313444138,0.04070139,0.539942165,0.308899902,0.307654917,0.065193733,0.047884047,0.465672225,0.183156431,0.089782574,0.67901093,0.000644485,0.000932106,0.002887026,0.001331579,0.006657898,-0.007323687,0.003328948,0.785272554,-0.007002777,-0.010652636,0.018096226,0.01051948,0.028229486,-0.037017912,0.033822122,0.904697321,0.000794953,0.001731053,0.002458406,0.002530002,0.004261055,-0.003062633,0.003728423,0.866218324
